race,sex,first_arrest_date,second_arrest_date,first_charge,second_charge,first_age,second_age,first_city,second_city,first_arrest_time,second_arrest_time,days_between_arrests
B,M,2015-01-23,2015-02-22,DUS 1ST,DUS 1ST,23,23,CHARLESTON,CHARLESTON,1412,2036,30
W,M,2018-08-05,2018-08-05,PUBLIC INTOXICATION,POSS DRUG PARAPHERNALIA,51,51,CHARLESTON,CHARLESTON,0,0,0
W,M,2016-08-16,2018-08-05,UNLAWFUL CARRY OF WEAPON ON SCHOOL PROPERTY,SIMPLE POSS MARIJUANA 1ST,15,17,CHARLESTON,CHARLESTON,710,1450,719
B,M,2017-09-06,2020-01-20,SIMPLE POSS MARIJUANA 1ST,BURGLARY 1ST DEGREE,20,22,CHARLESTON,CHARLESTON,2124,1200,866
B,M,2015-05-01,2020-04-09,BURGLARY 1ST DEGREE,BREACH OF TRUST W/ FRAUDULENT INTENT,24,29,CHARLESTON,CHARLESTON,934,2150,1805
B,M,2016-02-12,2016-02-12,PWID/MANUF COCAINE,OUT OF AGENCY WARRANT,58,58,CHARLESTON COUNTY,CHARLESTON COUNTY,2313,2222,0
B,M,2016-04-21,2017-07-23,OPEN CONTAINER ALCOHOL,OUT OF AGENCY WARRANT,29,30,CHARLESTON,CHARLESTON,2211,2144,458
W,M,2015-06-13,2018-02-22,DISORDERLY CONDUCT,ASSAULT & BATTERY 2ND DEGREE,41,44,CHARLESTON,CHARLESTON,227,1120,985
W,M,2017-06-20,2018-05-25,DV 3RD,ASSAULT & BATTERY 3RD DEGREE,45,46,CHARLESTON,CHARLESTON,1846,1100,339
W,M,2017-08-16,2018-12-17,SHOPLIFTING,SHOPLIFTING,71,73,CHARLESTON,CHARLESTON COUNTY,1945,900,488
B,F,2016-08-22,2017-11-14,DISORDERLY CONDUCT,DISORDERLY CONDUCT,16,17,CHARLESTON,CHARLESTON,1205,752,449
W,M,2021-07-24,2024-03-02,SIMPLE ASSAULT,POSS CONTROLLED SUBS SCHEDULE I-V,60,62,CHARLESTON,CHARLESTON,1350,1651,952
W,M,2019-02-18,2020-01-17,SIMPLE POSS MARIJUANA 1ST,BURGLARY 3RD DEGREE,30,31,CHARLESTON,CHARLESTON,2141,800,333
W,F,2016-08-24,2024-12-21,SHOPLIFTING,DUI 1ST,19,28,CHARLESTON,CHARLESTON,1922,2115,3041
B,M,2016-12-04,2016-12-09,LOITERING,OPEN CONTAINER ALCOHOL,34,34,CHARLESTON,CHARLESTON,156,1555,5
B,M,2015-01-03,2015-04-12,DUS 3RD +,DUS 3RD +,43,44,CHARLESTON,CHARLESTON,42,2019,99
B,M,2018-04-05,2018-04-17,SIMPLE POSS MARIJUANA 1ST,"TRAFFICKING COCAINE BASE 10-28G, F",17,17,CHARLESTON,CHARLESTON,1852,51,12
B,M,2016-03-28,2016-06-23,PALMETTO ARTISAN PERMIT REQUIRED,POSS BLACKJACK / SLINGSHOT,14,15,CHARLESTON,CHARLESTON,1550,1956,87
B,F,2018-08-31,2019-06-23,SHOPLIFTING,OUT OF AGENCY WARRANT,18,19,CHARLESTON,CHARLESTON,2017,2121,296
B,M,2024-05-19,2024-05-29,SIMPLE POSS MARIJUANA 1ST,DUS 3RD +,40,40,CHARLESTON,CHARLESTON,2336,2308,10
B,M,2015-02-14,2021-01-24,BREAKING INTO MOTOR VEHICLE,BREAKING INTO MOTOR VEHICLE,38,44,CHARLESTON,CHARLESTON,1622,1451,2171
W,M,2015-02-19,2015-04-07,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,21,22,CHARLESTON,CHARLESTON,2236,2306,47
B,M,2015-01-07,2015-05-27,LOITERING,LOITERING,24,25,CHARLESTON,CHARLESTON,1600,1310,140
W,F,2018-05-24,2022-04-20,FORGERY,OUT OF AGENCY WARRANT,32,36,CHARLESTON,CHARLESTON,1544,320,1427
W,M,2016-01-27,2018-08-12,PUBLIC INTOXICATION,SIMPLE POSS MARIJUANA 1ST,24,27,CHARLESTON,CHARLESTON,2354,557,928
B,M,2016-12-21,2017-11-11,ARMED ROBBERY,DV 2ND,18,19,CHARLESTON,CHARLESTON,2150,556,325
W,M,2015-02-12,2015-08-30,CDV 2ND,DV 2ND,42,43,CHARLESTON,CHARLESTON,7,2028,199
B,M,2015-12-26,2016-02-13,TRESPASSING AFTER WARNING,SIMPLE ASSAULT,37,37,CHARLESTON,CHARLESTON,2305,1821,49
B,M,2015-06-14,2016-03-09,UNLAWFUL CARRYING OF HANDGUN,OUT OF AGENCY WARRANT,27,28,CHARLESTON,CHARLESTON,2346,2252,269
B,M,2019-12-10,2020-04-01,PETIT LARCENY,BURGLARY 2ND  DEGREE  (VIOLENT),12,13,CHARLESTON,CHARLESTON,1400,1140,113
B,M,2015-08-13,2016-04-03,PEDDLERS PERMIT REQUIRED,PALMETTO ARTISAN PERMIT REQUIRED,13,14,CHARLESTON,CHARLESTON,1132,1346,234
B,M,2017-03-15,2019-08-21,SIMPLE POSS MARIJUANA 1ST,UNLAWFUL CONDUCT TOWARDS A CHILD,36,39,CHARLESTON,CHARLESTON,207,1400,889
B,F,2017-11-30,2020-10-03,SHOPLIFTING,OUT OF AGENCY WARRANT,54,57,CHARLESTON,CHARLESTON,845,1646,1038
B,M,2017-02-14,2020-10-13,SIMPLE POSS MARIJUANA 1ST,PUBLIC DISORDERLY CONDUCT,22,26,CHARLESTON COUNTY,CHARLESTON,2348,259,1337
B,M,2016-12-21,2017-07-04,OUT OF AGENCY WARRANT,PROPERTY CRIME ENHANCEMENT,37,37,CHARLESTON,CHARLESTON,1111,654,195
W,F,2023-10-22,2024-11-17,DUI 1ST,DUI 2ND,33,34,CHARLESTON,CHARLESTON,2014,156,392
B,M,2017-03-23,2019-04-24,DAMAGE TO REAL PROPERTY,TRESPASSING AFTER WARNING,19,22,CHARLESTON,CHARLESTON,2045,1752,762
B,M,2015-04-22,2016-06-12,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,20,21,CHARLESTON,CHARLESTON,1400,2209,417
B,M,2016-05-18,2017-02-27,SIMPLE ASSAULT,OPEN CONTAINER ALCOHOL,54,54,CHARLESTON,CHARLESTON,54,1500,285
W,M,2019-05-04,2021-10-16,DV 2ND,OUT OF AGENCY WARRANT,28,30,N CHARLESTON,CHARLESTON,1431,2113,896
B,M,2020-07-19,2020-10-07,LOUD NOISE,DISORDERLY CONDUCT,47,47,CHARLESTON,CHARLESTON,17,19,80
B,M,2015-07-13,2015-09-26,PROPERTY CRIME ENHANCEMENT,PUBLIC INTOXICATION,51,52,CHARLESTON,CHARLESTON,1740,1825,75
B,M,2018-02-27,2019-04-20,PWID/MANUF MARIJUANA,SIMPLE POSS MARIJUANA 1ST,17,18,CHARLESTON,CHARLESTON,1532,2109,417
B,M,2021-05-29,2022-03-02,BURGLARY 2ND DEGREE,SIMPLE POSS MARIJUANA 1ST,18,18,CHARLESTON,CHARLESTON,1555,1354,277
B,M,2015-09-21,2018-04-18,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,22,25,CHARLESTON,CHARLESTON,2330,25,940
B,F,2015-08-09,2015-12-03,SIMPLE POSS MARIJUANA 1ST,BREACH OF TRUST W/ FRAUDULENT INTENT,21,21,CHARLESTON,CHARLESTON,2101,1018,116
B,M,2015-10-22,2019-11-18,DISTURBING SCHOOL,ASSAULT & BATTERY 3RD DEGREE,16,20,JOHNS ISLAND,N CHARLESTON,1305,1015,1488
B,M,2015-09-15,2018-06-26,OPEN CONTAINER ALCOHOL,TRESPASSING,23,26,CHARLESTON,CHARLESTON,1240,1034,1015
B,M,2015-09-21,2020-04-15,ASSAULT & BATTERY 2ND DEGREE,POINTING FIREARM AT A PERSON,51,55,N CHARLESTON,CHARLESTON,1254,258,1668
W,M,2016-03-16,2017-06-28,OBTAINING GOODS BY FALSE PRETENSES,BURGLARY 1ST DEGREE,30,31,NORTH CHARLESTON,NORTH CHARLESTON,1130,1322,469
W,M,2017-04-23,2017-09-15,POSS COCAINE,SIMPLE POSS MARIJUANA 1ST,17,17,CHARLESTON,CHARLESTON,337,1728,145
B,F,2017-02-23,2019-07-26,SIMPLE ASSAULT,OPEN CONTAINER BEER/WINE IN VEH,36,38,CHARLESTON,CHARLESTON,1952,2354,883
W,F,2019-09-24,2021-06-28,ASSAULT ON POLICE,SIMPLE POSS MARIJUANA 1ST,22,24,CHARLESTON,CHARLESTON,127,409,643
W,M,2017-04-05,2023-08-15,PUBLIC INTOXICATION,"SIMPLE POSS MARIJUANA 1ST, M",36,42,CHARLESTON,CHARLESTON,152,2211,2323
W,M,2024-01-28,2024-01-28,DUI 1ST,DUI 1ST,45,45,CHARLESTON,CHARLESTON,36,36,0
W,M,2015-12-27,2016-03-04,RECKLESS DRIVING,RECKLESS DRIVING,18,18,CHARLESTON,NORTH CHARLESTON,2248,1552,68
B,M,2019-06-04,2019-11-20,OUT OF AGENCY WARRANT,OUT OF AGENCY WARRANT,25,25,CHARLESTON,CHARLESTON,2328,20,169
B,M,2024-03-28,2024-11-11,DUI 1ST,DUI 2ND,32,33,CHARLESTON,CHARLESTON,328,358,228
B,M,2018-02-24,2021-08-19,OUT OF AGENCY WARRANT,SIMPLE POSS MARIJUANA 1ST,25,28,CHARLESTON,CHARLESTON,2302,0,1272
W,M,2018-11-28,2018-12-17,HARASSMENT 2ND DEGREE,UNLAWFUL USE OF A TELEPHONE,37,37,CHARLESTON,N CHARLESTON,1659,550,19
B,M,2015-03-24,2016-10-14,DUS 1ST,OUT OF AGENCY WARRANT,25,26,NORTH CHARLESTON,CHARLESTON,1615,114,570
W,M,2016-08-26,2016-09-04,SIMPLE ASSAULT,PUBLIC INTOXICATION,65,65,CHARLESTON,CHARLESTON,602,1705,9
W,F,2015-10-24,2016-05-03,OPEN CONTAINER ALCOHOL,OPEN CONTAINER ALCOHOL,49,49,CHARLESTON,CHARLESTON,1301,1316,192
W,M,2018-08-17,2018-08-31,ASSAULT & BATTERY 3RD DEGREE,OPEN CONTAINER ALCOHOL,22,22,CHARLESTON COUNTY,CHARLESTON,309,58,14
W,M,2015-05-27,2019-12-16,OUT OF AGENCY WARRANT,STRONG ARM ROBBERY,30,35,CHARLESTON,MONCKS CORNER,2010,900,1664
B,F,2019-08-30,2019-10-07,PUBLIC INTOXICATION,TRESPASSING,30,30, ,CHARLESTON,708,2100,38
W,F,2019-09-30,2023-08-24,POSS CONTROLLED SUSB SCHEDULE I-V,DUI 1ST,32,36,CHARLESTON,CHARLESTON,2127,2301,1424
B,M,2016-11-03,2018-05-09,ATTEMPTED MURDER,POSS COCAINE BASE,19,20,CHARLESTON,CHARLESTON,1226,1300,552
W,M,2015-07-22,2018-11-08,RECKLESS DRIVING,FINANCIAL TRANSACTION CARD THEFT,20,23,CHARLESTON,CHARLESTON,34,1900,1205
W,M,2020-12-22,2022-07-12,GRAND LARCENY,PROPERTY CRIME ENHANCEMENT,36,38,CHARLESTON,ORANGEBURG,1426,1000,567
B,M,2018-09-10,2020-12-18,OUT OF AGENCY WARRANT,OUT OF AGENCY WARRANT,43,45,CHARLESTON,CHARLESTON,1406,35,830
B,M,2015-05-28,2015-05-29,POSS TOOLS FOR A CRIME,BREAKING INTO MOTOR VEHICLE,23,23,CHARLESTON,N CHARLESTON,619,2047,1
B,M,2015-12-12,2016-03-23,PROHIBITED AREAS FOR SOLICITORS,OUT OF AGENCY WARRANT,51,52,CHARLESTON,CHARLESTON,125,1454,102
W,M,2019-11-12,2019-12-17,BURGLARY 2ND  DEGREE  (VIOLENT),BURGLARY 2ND  DEGREE  (VIOLENT),28,28,MONCKS CORNER,NORTH CHARLESTON,1015,1403,35
B,M,2015-05-24,2015-08-14,TRESPASSING,OPEN CONTAINER ALCOHOL,45,45,CHARLESTON,CHARLESTON,915,2118,82
B,M,2016-01-07,2016-03-12,PWID/MANUF/DISTR HEROIN,PWID/MANUF/DISTR HEROIN,36,36,CHARLESTON,CHARLESTON,1541,1930,65
B,F,2015-03-20,2018-10-26,DISTURBING SCHOOL,SIMPLE POSS MARIJUANA 1ST,15,19,CHARLESTON,CHARLESTON,1319,2350,1316
B,M,2017-03-23,2017-06-01,POSS COCAINE BASE,DUS 3RD +,48,49,CHARLESTON,CHARLESTON,103,1049,70
W,F,2017-03-05,2020-10-23,PUBLIC INTOXICATION,OPEN CONTAINER ALCOHOL,43,47,CHARLESTON,CHARLESTON,1816,1107,1328
W,M,2021-01-01,2024-08-29,PUBLIC INTOXICATION,PUBLIC INTOXICATION,45,48,CHARLESTON,CHARLESTON,2022,2214,1336
B,M,2017-04-04,2019-02-15,OUT OF AGENCY WARRANT,SIMPLE POSS MARIJUANA 1ST,39,41,CHARLESTON,CHARLESTON,113,2312,682
W,M,2015-04-19,2017-01-21,SIMPLE POSS MARIJUANA 1ST,"POSS COCAINE, F",41,42,CHARLESTON,CHARLESTON,1935,538,643
W,M,2015-01-31,2015-02-02,"BURGLARY 1ST DEGREE, F",CDV 1ST,24,24,CHARLESTON,NORTH CHARLESTON,248,1336,2
B,M,2017-03-11,2017-04-03,OPEN CONTAINER ALCOHOL,PUBLIC URINATION / DEFECATION,27,27,CHARLESTON,CHARLESTON,30,712,23
W,M,2022-09-14,2022-12-05,DV 3RD,DV 2ND,42,42,CHARLESTON,CHARLESTON,907,1155,82
W,M,2017-05-24,2017-09-14,OUT OF AGENCY WARRANT,PWID/MANUF/DISTR/PURCH METHAMPHETAMINE,27,27,CHARLESTON COUNTY,CHARLESTON,930,2212,113
B,M,2015-06-30,2024-06-11,OUT OF AGENCY WARRANT,PWID/MANUF MARIJUANA,23,32,CHARLESTON,CHARLESTON,2327,1936,3269
B,M,2016-06-18,2016-10-26,SIMPLE POSS MARIJUANA 1ST,DISORDERLY CONDUCT,17,17,CHARLESTON COUNTY,CHARLESTON,1100,1225,130
B,M,2018-08-22,2020-10-22,USE OF VEHICLE W/ OUT PERMISSION,STRONG ARM ROBBERY,19,21,CHARLESTON COUNTY,HOLLYWOOD,1930,1001,792
B,F,2018-12-21,2022-04-03,SIMPLE POSS MARIJUANA 1ST,USE OF VEHICLE W/ OUT PERMISSION,20,23,CHARLESTON,NORTH CHARLESTON,2118,1837,1199
B,M,2018-09-06,2021-09-05,DISORDERLY CONDUCT,SIMPLE ASSAULT,27,30,CHARLESTON,CHARLESTON,1230,1225,1095
W,M,2015-10-02,2016-09-28,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,34,35,CHARLESTON COUNTY,CHARLESTON COUNTY,2337,2228,362
B,M,2018-03-13,2018-08-27,PWID/MANUF COCAINE,POSS COCAINE,29,29,CHARLESTON,CHARLESTON,1141,1805,167
W,M,2015-09-03,2015-09-18,OUT OF AGENCY WARRANT,HABITUAL OFFENDER,32,32,CHARLESTON,CHARLESTON,1548,1337,15
W,M,2019-07-05,2021-05-26,OPEN CONTAINER ALCOHOL,"INTIMIDATION OF OFFICIALS, JURORS, OR WITNESS, F",47,48,CHARLESTON COUNTY,CHARLESTON,815,1536,691
W,M,2016-11-14,2017-08-13,GIVING FALSE INFORMATION,OUT OF AGENCY WARRANT,19,20,CHARLESTON COUNTY,CHARLESTON,330,112,272
W,M,2015-03-22,2017-10-30,PUBLIC URINATION / DEFECATION,POSS COCAINE BASE,21,54,CHARLESTON,CHARLESTON,1323,2021,953
B,M,2017-07-29,2018-11-28,PUBLIC DISORDERLY CONDUCT,TRESPASSING AFTER WARNING,28,30,CHARLESTON,CHARLESTON,12,1123,487
B,M,2017-05-26,2022-03-13,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,27,32,CHARLESTON,CHARLESTON,2150,2333,1752
W,M,2016-10-24,2018-08-17,PUBLIC INTOXICATION,DAMAGE TO PERSONAL PROPERTY,46,48,CHARLESTON,CHARLESTON,2015,58,662
B,M,2015-08-14,2015-08-23,OPEN CONTAINER ALCOHOL,OPEN CONTAINER ALCOHOL,59,59,CHARLESTON,CHARLESTON,305,1156,9
B,F,2016-08-25,2019-07-11,SHOPLIFTING,DAMAGE TO PERSONAL PROPERTY,17,20,CHARLESTON,CHARLESTON,2025,158,1050
B,M,2023-02-07,2023-02-10,PWID FENTANYL,PWID CLOSE PROX SCHOOL/PARK,23,23,CHARLESTON,N CHARLESTON,1651,1600,3
B,F,2020-10-27,2023-08-14,OUT OF AGENCY WARRANT,POSSESSION MARIJUANA 1OZ OR LESS,27,30,CHARLESTON,CHARLESTON,1025,217,1021
W,M,2017-01-21,2023-10-18,POSS COCAINE,DV 3RD,51,58,CHARLESTON,CHARLESTON,2135,257,2461
W,M,2017-10-10,2017-12-03,OPEN CONTAINER ALCOHOL,OPEN CONTAINER ALCOHOL,55,56,CHARLESTON,CHARLESTON,1043,1634,54
W,M,2015-06-30,2016-05-08,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,25,26,CHARLESTON,CHARLESTON,225,2228,313
W,F,2016-02-29,2017-12-09,UNLAWFUL CARRY OF WEAPON ON SCHOOL PROPERTY,SHOPLIFTING,16,18,CHARLESTON,CHARLESTON,1504,2142,649
B,M,2024-01-10,2024-01-10,SIMPLE ASSAULT,SIMPLE ASSAULT,49,49,CHARLESTON,CHARLESTON,831,831,0
B,F,2021-08-12,2021-11-08,OUT OF AGENCY WARRANT,LARCENY,26,26,CHARLESTON,CHARLESTON,1942,2044,88
W,F,2016-08-12,2017-01-26,USING ANOTHER PERSONS DRIVERS LICENSE,FAKE ID / ALTERED DRIVING LICENSE,19,19,CHARLESTON,CHARLESTON,118,2355,167
W,M,2024-06-26,2024-07-13,SHOPLIFTING,PROPERTY CRIME ENHANCEMENT,44,44,CHARLESTON,CHARLESTON,1430,2008,17
W,M,2015-06-02,2017-04-07,PROPERTY CRIME ENHANCEMENT,POSS DRUG PARAPHERNALIA,59,61,CHARLESTON,CHARLESTON,1344,740,675
B,M,2018-07-24,2018-12-22,BURGLARY 2ND  DEGREE  (VIOLENT),SIMPLE POSS MARIJUANA 1ST,26,26,CHARLESTON COUNTY,CHARLESTON,901,206,151
W,F,2023-05-12,2024-03-21,SHOPLIFTING,PUBLIC INTOXICATION,58,59, ,CHARLESTON,1022,2341,314
B,M,2018-06-12,2018-08-23,PWID/MANUF MARIJUANA,OUT OF AGENCY WARRANT,24,24,CHARLESTON,CHARLESTON,1433,2226,72
B,M,2016-12-31,2017-12-18,DV 3RD,TRAFFICKING HEROIN 14-28G,21,22,N CHARLESTON,CHARLESTON,1036,2358,352
B,M,2022-07-12,2022-08-09,OUT OF AGENCY WARRANT,FINANCIAL TRANSACTION CARD THEFT,25,25,CHARLESTON,NORTH CHARLESTON,37,1307,28
W,M,2015-08-03,2018-04-26,SIMPLE POSS MARIJUANA 1ST,SHOPLIFTING,52,55,CHARLESTON,CHARLESTON,1943,42,997
B,M,2020-01-16,2024-09-14,UNLAWFUL CARRYING OF HANDGUN,SIMPLE POSS MARIJUANA 1ST,24,28,CHARLESTON,CHARLESTON,2133,153,1703
B,M,2017-03-29,2017-10-25,POSS MDMA / ECSTASY,OUT OF AGENCY WARRANT,32,32,CHARLESTON COUNTY,CHARLESTON,2314,2038,210
B,M,2015-11-27,2018-07-14,OUT OF AGENCY WARRANT,DV 2ND,22,24,CHARLESTON,CHARLESTON,1931,549,960
B,F,2015-05-18,2017-02-06,DUS 1ST,DUS 1ST,26,28,CHARLESTON,CHARLESTON,2105,5,630
W,M,2015-02-17,2017-08-06,OUT OF AGENCY WARRANT,DUS 2ND,23,25,CHARLESTON,CHARLESTON,230,503,901
W,M,2015-02-25,2015-03-30,CDV 2ND,VIOLATION OF PROTECTION ORDER,47,47,CHARLESTON,NORTH CHARLESTON,1315,1352,33
W,F,2021-01-06,2021-10-08,FORGERY,PROPERTY CRIME ENHANCEMENT,37,38,CHARLESTON,CHARLESTON COUNTY,1626,1723,275
B,M,2016-01-08,2017-06-15,DISCHARGING OF FIREARM,SIMPLE POSS MARIJUANA 1ST,18,19,CHARLESTON,CHARLESTON,1941,2015,524
B,M,2016-04-12,2017-09-19,OPEN CONTAINER BEER/WINE IN VEH,PWID/MANUF/DISTR/PURCH COCAINE BASE,32,33,CHARLESTON,CHARLESTON,1426,2223,525
W,M,2015-09-11,2016-02-19,SIMPLE POSS MARIJUANA 1ST,SHOPLIFTING,17,18,CHARLESTON,CHARLESTON,1033,1708,161
W,F,2019-10-27,2021-03-19,PROPERTY CRIME ENHANCEMENT,"POSS METHAMPHETAMINE, F",28,30,CHARLESTON,CHARLESTON,1734,833,509
B,M,2015-01-05,2015-03-26,TRESPASSING,DUS 1ST,21,22,CHARLESTON,CHARLESTON,0,32,80
B,M,2015-10-28,2015-12-02,LOITERING,LOITERING,21,21,CHARLESTON,CHARLESTON,2053,1506,35
B,M,2021-06-14,2022-09-13,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,23,24,CHARLESTON,CHARLESTON,2350,212,456
W,M,2019-10-16,2019-10-18,PROPERTY CRIME ENHANCEMENT,GRAND LARCENY,40,40,CHARLESTON,N CHARLESTON,1521,1500,2
B,M,2015-01-10,2015-08-04,DUS 1ST,POSS CONTROLLED SUSB SCHEDULE I-V,28,29,CHARLESTON COUNTY,CHARLESTON,243,2135,206
W,F,2016-04-23,2016-06-07,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,24,24,CHARLESTON,CHARLESTON,2352,2123,45
B,M,2015-03-20,2015-04-03,TRESPASSING,SIMPLE ASSAULT,36,36,CHARLESTON,CHARLESTON,2116,344,14
B,M,2015-05-22,2022-12-08,OUT OF AGENCY WARRANT,PWID/MANUF MARIJUANA,26,34,CHARLESTON,CHARLESTON,2014,1840,2757
W,M,2015-10-01,2016-09-02,PUBLIC INTOXICATION,PUBLIC INTOXICATION,24,25,CHARLESTON,CHARLESTON,100,315,337
B,M,2017-01-23,2019-08-29,BURGLARY 1ST DEGREE,OUT OF AGENCY WARRANT,47,49,CHARLESTON,CHARLESTON,711,1957,948
W,M,2016-05-15,2017-11-09,SIMPLE POSS MARIJUANA 1ST,DAMAGE TO PERSONAL PROPERTY,17,18,CHARLESTON,CHARLESTON,129,900,543
W,M,2017-07-22,2024-11-22,PUBLIC DISORDERLY CONDUCT,BREACH OF TRUST W/ FRAUDULENT INTENT,27,34,CHARLESTON,CHARLESTON,200,1121,2680
B,M,2016-10-29,2017-02-24,"DV 2ND, F",POSS COCAINE,27,27,CHARLESTON COUNTY,CHARLESTON,515,0,118
B,M,2024-07-30,2024-08-20,BREAKING INTO MOTOR VEHICLE,BREAKING INTO MOTOR VEHICLE,20,20,CHARLESTON,CHARLESTON,2321,1036,21
B,M,2018-08-30,2023-07-31,OUT OF AGENCY WARRANT,DUS 3RD +,26,31,CHARLESTON,CHARLESTON,221,1401,1796
B,M,2015-09-21,2017-04-08,DUS 2ND,POSS COCAINE BASE,59,61,N CHARLESTON,CHARLESTON,947,13,565
B,M,2018-05-29,2019-02-13,PWID/MANUF/DISTR/PURCH COCAINE BASE,DISTRIBUTION / PURCHASING COCAINE,31,32,CHARLESTON,N CHARLESTON,2130,1628,260
B,M,2021-04-22,2023-08-20,UNLAWFUL CARRYING OF HANDGUN,SIMPLE POSS MARIJUANA 1ST,21,24,CHARLESTON,CHARLESTON,41,103,850
B,M,2016-08-25,2016-11-15,DISORDERLY CONDUCT,ATTEMPTED MURDER,16,16,CHARLESTON,CHARLESTON,840,600,82
B,M,2018-03-26,2018-11-02,SIMPLE POSS MARIJUANA 1ST,OUT OF AGENCY WARRANT,18,19,CHARLESTON,CHARLESTON,2240,2221,221
B,M,2018-03-13,2023-08-05,UNLAWFUL CARRYING OF HANDGUN,ABHAN,29,34,CHARLESTON,CHARLESTON,4,1000,1971
B,M,2016-04-19,2017-07-13,BREAKING INTO MOTOR VEHICLE,GRAND LARCENY,45,47,CHARLESTON,CHARLESTON,1442,607,450
B,M,2016-02-09,2022-10-26,PUBLIC INTOXICATION,ABHAN,33,40,CHARLESTON,CHARLESTON,139,113,2451
B,M,2015-05-24,2015-06-28,DUS 2ND,OUT OF AGENCY WARRANT,42,42,N CHARLESTON,CHARLESTON,1725,1953,35
B,M,2017-03-30,2020-05-03,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,24,27,CHARLESTON,CHARLESTON,2200,1802,1130
B,F,2016-02-10,2019-08-15,OUT OF AGENCY WARRANT,OPEN CONTAINER ALCOHOL,46,50,CHARLESTON,CHARLESTON COUNTY,2152,655,1282
B,M,2017-05-19,2018-11-04,TRAFFICKING COCAINE 100G +,POSS OF FIREARM/AMMO BY CONVICT VIOLENT FELONY,27,29,CHARLESTON,CHARLESTON,1945,2322,534
B,F,2016-05-13,2018-05-14,SIMPLE ASSAULT,DVHAN,20,22,CHARLESTON COUNTY,N CHARLESTON,2109,900,731
B,F,2017-11-11,2020-01-17,SIMPLE POSS MARIJUANA 1ST,POSS MDMA / ECSTASY,20,23,CHARLESTON,CHARLESTON,159,1213,797
W,M,2022-05-11,2024-06-16,DUI 2ND,DUI 2ND,63,65,CHARLESTON,CHARLESTON,351,41,767
W,M,2017-09-02,2017-09-13,OPEN CONTAINER ALCOHOL,OPEN CONTAINER ALCOHOL,56,56,CHARLESTON,CHARLESTON,103,2208,11
W,M,2017-06-08,2017-12-24,PUBLIC INTOXICATION,PUBLIC INTOXICATION,23,23,CHARLESTON,CHARLESTON,233,123,199
B,M,2015-01-22,2015-12-26,PROHIBITED AREAS FOR SOLICITORS,PROHIBITED AREAS FOR SOLICITORS,60,61,CHARLESTON,CHARLESTON,1441,1320,338
B,M,2015-12-01,2017-08-06,PWID/MANUF/DISTR/PURCH COCAINE BASE,POSS COCAINE BASE,17,19,CHARLESTON,CHARLESTON,1403,430,614
B,M,2017-08-14,2017-08-15,PUBLIC URINATION / DEFECATION,ARMED ROBBERY,22,22,CHARLESTON,CHARLESTON,1703,2345,1
W,M,2015-04-13,2021-02-25,USE OF VEHICLE W/ OUT PERMISSION,DV 2ND,18,24,CHARLESTON,CHARLESTON,447,1051,2145
W,M,2017-02-10,2017-03-24,SHOPLIFTING,SHOPLIFTING,31,31,MONCKS CORNER,N CHARLESTON,1359,1335,42
B,M,2015-06-04,2022-06-19,CDV 1ST,CRUELTY TO ANIMALS,43,50,CHARLESTON,CHARLESTON,2239,1546,2572
B,M,2016-02-04,2016-12-12,DUS 3RD +,DUS 3RD +,54,55,CHARLESTON,NORTH CHARLESTON,1530,1214,312
W,M,2015-12-23,2015-12-25,DISORDERLY CONDUCT,PUBLIC INTOXICATION,50,50,CHARLESTON,CHARLESTON,1955,2107,2
B,M,2018-06-10,2020-01-27,OPEN CONTAINER ALCOHOL,PROPERTY CRIME ENHANCEMENT,44,46,CHARLESTON,CHARLESTON,50,1401,596
W,M,2016-08-07,2017-02-01,OUT OF AGENCY WARRANT,SHOPLIFTING,30,31,CHARLESTON COUNTY,CHARLESTON,14,1158,178
B,M,2015-07-02,2015-09-04,DV 1ST,DVHAN,34,34,NORTH CHARLESTON,CHARLESTON,1431,1834,64
W,F,2024-08-10,2024-08-26,SHOPLIFTING,SHOPLIFTING,35,35,CHARLESTON,NORTH CHARLESTON,1826,800,16
B,M,2016-02-02,2023-04-07,OPEN CONTAINER ALCOHOL,CSC W/ MINOR 1ST DEGREE,29,36,CHARLESTON,RIDGEVILLE,1254,1329,2621
B,M,2016-03-12,2018-10-15,FAILURE TO STOP BLUE LIGHT/ SIREN,HABITUAL OFFENDER,35,38,CHARLESTON COUNTY,CHARLESTON,1931,101,947
B,M,2024-01-16,2024-01-16,OUT OF AGENCY WARRANT,OUT OF AGENCY WARRANT,54,54,CHARLESTON,CHARLESTON,1524,1524,0
